word,number_of_occurences
starosť,23
rana,23
tuho,23
dlho,23
rozhovor,23
súci,23
vlastný,23
stav,23
vykríknuť,23
líce,23
cez,23
okamih,23
zle,23
daktorý,23
pýcha,22
zachovať,22
položiť,22
ťarcha,22
vysoký,22
prehovoriť,22
horúčava,22
dáky,22
andrijana,22
prázdno,22
don,22
malo,22
jed,22
stratiť,22
težaka,22
muka,22
brat,21
groš,21
hriech,21
zaujať,21
ďalej,21
často,21
azda,21
úmysel,21
toľký,21
koleno,21
vojsť,21
nesmieť,21
spať,21
hrdlo,21
plachta,21
postaviť,21
čert,21
nábrežie,21
uvidieť,21
hospodár,21
dojem,21
dívať,21
chrám,21
vykonať,21
predmet,21
vzduch,21
vracať,21
sladké,21
premeniť,21
bok,20
stoj,20
vyzerať,20
takže,20
kus,20
lat,20
rozum,20
preriecť,20
ležať,20
večný,20
pomoc,20
kríž,20
letieť,20
statočný,20
tanec,20
hotový,20
nehovoriť,20
obyčaj,20
otvoriť,20
mul,20
nebo,20
oheň,20
blesk,20
toľme,20
bárka,20
včera,20
dávno,19
bieda,19
kapetan,19
prístav,19
rod,19
očakávať,19
neprísť,19
utíšiť,19
hlavná,19
menej,19
hádzať,19
očakávanie,19
rozmýšľať,19
znovu,19
dosiahnuť,19
výjav,19
pocítiť,19
pera,19
slečinka,19
zazrieť,19
dvorana,19
všeobecný,19
uspokojenie,19
svietiť,19
kvet,19
spoza,19
obeť,19
výhľad,19
kochať,19
sklamanie,19
vyznať,19
prekážka,18
mohutný,18
strhnúť,18
meno,18
múr,18
žalovať,18
začínať,18
pomaly,18
múrik,18
vzdych,18
tušiť,18
vystúpiť,18
volať,18
hruď,18
trpký,18
nesmierne,18
preboha,18
dohora,18
divný,18
šaty,18
oduševnením,18
milý,18
nikde,18
krása,18
pevný,18
pôžitok,18
nízky,18
visieť,18
miesiť,18
bys,18
prudký,18
hrozno,18
mier,18
osud,18
radovať,18
naopak,17
káva,17
skvelý,17
oltár,17
vytiahnuť,17
obyčajný,17
božiť,17
uznať,17
vraj,17
kút,17
domáca,17
spozorovať,17
tón,17
nejeden,17
vysadnúť,17
odvrátiť,17
mesiac,17
jemný,17
odvaha,17
ozaj,17
žila,17
prebudiť,17
čítať,17
povďačnosť,17
parník,17
zapáliť,17
kreslo,17
vážne,17
vysoko,17
jazyk,17
kvôli,17
túžba,17
žiadať,17
pozdejšie,17
neveriť,17
spoločnosť,17
úprimne,17
slúžka,17
obyčajne,17
onedlho,17
suchý,17
nádherný,17
žialiť,17
presvedčiť,17
lesk,17
váš,17
doricu,17
pracovať,17
umierajúci,17
dedina,16
pôjd,16
mena,16
domec,16
búrka,16
pomôcť,16
jere,16
rozkazovať,16
zmiznúť,16
ozývať,16
doliehať,16
obvyklý,16
smutný,16
spustiť,16
zobrať,16
nadhodiť,16
podvihnúť,16
nenávisť,16
potešiť,16
vaša,16
dotknúť,16
striasť,16
hostina,16
klobúk,16
mestský,16
zlato,16
omša,16
dar,16
katice,16
načim,16
vôňa,16
jednoduchý,16
bližšie,16
otvorený,16
povedomie,16
dážď,16
zadiviť,16
umrieť,16
teplý,16
plán,16
obava,16
škola,16
protiviť,16
grabovikom,15
sťaby,15
vlastne,15
pitvor,15
vietor,15
breh,15
jednoducho,15
spomínať,15
odkiaľ,15
težakov,15
cirkevný,15
procesia,15
prísny,15
pletka,15
vyhodiť,15
nadovšetko,15
osoh,15
zamyslený,15
sadnúť,15
starieť,15
hrozný,15
nežnosť,15
pobrať,15
duma,15
mládež,15
dakde,15
koreň,15
vydať,15
dej,15
napiť,15
rátať,15
úprimný,15
duch,15
vytrhnúť,15
znezrady,15
rozhorčenie,15
pomyslieť,15
pochybnosť,15
výstup,15
podať,15
celieť,15
popustiť,15
odtrhnúť,15
rozhodnúť,15
lámať,15
dôjsť,15
riadiť,15
slúžiť,15
tisnúť,15
mladé,15
ťažkať,15
brániť,15
lavica,15
kapitán,15
ťahať,15
brána,15
strýko,15
úľava,15
tráva,15
závidieť,15
istota,15
pohodlie,15
mam,15
pohnutie,15
galeša,15
skadiaľ,15
kúsok,15
