word,number_of_occurences
nestačiť,2
odpovedať,2
vybrať,2
predierať,2
ozývať,2
strážiť,2
dozvedieť,2
príbuzný,2
zobrať,2
nával,2
civilný,2
obyvateľstvo,2
vysvetliť,2
pustiť,2
zapochybovať,2
blížiť,2
rečniť,2
stáť,2
kývnuť,2
nasledovať,2
plot,2
zastať,2
pozerať,2
zadný,2
stráž,2
robiť,2
neuvidieť,2
veď,2
nevenovať,2
pridať,2
bez,2
desiatka,2
nehybne,2
zviera,2
riskovať,2
začuť,2
pomóc,2
potknúť,2
vykrikovať,2
čakať,2
pohnúť,2
keby,2
laurááá,2
predtým,2
chrbát,2
tichý,2
sprevádzať,2
lúč,2
tempo,2
nočný,2
prázdno,2
stojaci,2
rad,2
ulica,2
zrkadlo,2
útok,2
zabiť,2
vymyslený,2
fikcia,2
fantastika,2
vytvoriť,2
priblížiť,2
pohľad,2
záhadnosť,2
spôsob,2
priťahovať,2
prostredie,2
existovať,2
východný,2
predslov,1
km,1
vzdušný,1
čiara,1
michalovce,1
pokrytý,1
patriť,1
hustý,1
vyhasnutý,1
minulosť,1
zaregistrovaný,1
zemetrasenie,1
ležiaci,1
zrezaný,1
upútať,1
turisticky,1
vyhľadávaná,1
dostupný,1
jasne,1
vyznačený,1
turistický,1
časť,1
blízkosť,1
neskoro,1
nepriaznivý,1
podmienka,1
vrtoch,1
počasie,1
podniknúť,1
výhľad,1
úchvatný,1
viditeľnosť,1
tatra,1
nádherný,1
príroda,1
však,1
poznačený,1
posledné,1
nevyriešené,1
zmiznutia,1
prístupný,1
vznikať,1
dohad,1
mýtus,1
scenár,1
naskakovať,1
husí,1
koža,1
výlet,1
siedmak,1
dopomôcť,1
tiež,1
jednotka,1
slovenský,1
republika,1
dočasne,1
brána,1
križovať,1
zrútiť,1
nevyučovať,1
triedny,1
nevzdať,1
nádej,1
zmiznutým,1
tvár,1
nadpis,1
zvláštnosť,1
cudzí,1
poľština,1
maďarčina,1
zvesť,1
rozniesť,1
slovenska,1
vidno,1
opisovať,1
dokumentovať,1
okolnosť,1
rozprávať,1
totálne,1
zaujať,1
porovnávať,1
obesenec,1
fudži,1
prebleskovať,1
červeno,1
minúta,1
nezmiznúť,1
zvedavec,1
zarytý,1
bláznov,1
stúpnuť,1
sto,1
percento,1
prekypovať,1
televízia,1
nepomôcť,1
i,1
súčasnosť,1
prístupový,1
ťažký,1
neuviesť,1
než,1
médium,1
prenajímať,1
obletieť,1
internet,1
stránka,1
uverejňovať,1
video,1
lámať,1
rekord,1
jún,1
profesia,1
národnosť,1
podariť,1
vyhlásiť,1
plánovať,1
kapacitne,1
nebývalý,1
zažívať,1
rozprašovať,1
akýsi,1
dezinfekčný,1
nepodať,1
naštartovať,1
fantázia,1
končina,1
rozruch,1
mediálny,1
spomínanie,1
sčítať,1
skupina,1
schádzať,1
vzadu,1
prehľad,1
pohyb,1
žeby,1
odskočiť,1
zostava,1
vyslovene,1
vylúčený,1
tretí,1
nekonečno,1
dlh,1
zostup,1
cieľ,1
vykonať,1
kontrolný,1
pritom,1
zistiť,1
nedávať,1
mimo,1
vyvolávať,1
mena,1
overiť,1
nezmýliť,1
logický,1
zle,1
žalúdok,1
závrat,1
točiť,1
trpieť,1
migréna,1
nepomáhať,1
zlepšiť,1
štvrtý,1
technológia,1
proces,1
snímať,1
radar,1
lietadlo,1
vystopovanie,1
stopársky,1
pes,1
nezachytiť,1
bližšie,1
hubár,1
poruba,1
čiže,1
odľahlý,1
zákutie,1
predpoklad,1
zatúlať,1
týždeň,1
pátranie,1
bezvýsledný,1
stratenia,1
doteraz,1
prežitie,1
nevydržať,1
pomrieť,1
hlad,1
šiesty,1
rodina,1
vypísať,1
odmena,1
nájdenie,1
pochovať,1
hľadač,1
zanechať,1
zahalený,1
účtovníčka,1
malé,1
podnik,1
plný,1
kontaktovať,1
markov,1
nastúpiť,1
zamestnanie,1
pošta,1
šofér,1
pracovný,1
náplň,1
kuriérna,1
služba,1
rozvážanie,1
zásielka,1
mobilný,1
telefón,1
dať,1
rodič,1
stretnutie,1
kvôli,1
rozhovor,1
zahraničný,1
novina,1
zvonenie,1
prijať,1
hovor,1
predpokladať,1
poobede,1
návrh,1
námestie,1
pnúť,1
skúmavo,1
premeriavať,1
niekoľko,1
tipol,1
stály,1
podísť,1
spýtať,1
tešiť,1
trpezlivosť,1
ohľad,1
podozrenie,1
týkať,1
moja,1
zmiznutej,1
zbystriť,1
príčina,1
nechcieť,1
sprístupniť,1
nedať,1
spať,1
uprene,1
nezavolať,1
navrhovať,1
sadlo,1
zhlboka,1
nadýchnuť,1
rozhovoriť,1
zábrana,1
akýkoľvek,1
zabezpečiť,1
polnoc,1
striedať,1
výstroj,1
netajiť,1
donútiť,1
štíhla,1
dvadsiatnička,1
dlhý,1
blond,1
vlas,1
neladiť,1
malý,1
typ,1
chudý,1
okuliare,1
nebudiť,1
dojem,1
zdanie,1
klam,1
opak,1
pravda,1
dohodnúť,1
podrobnosť,1
medzitým,1
ťažkať,1
technik,1
tank,1
neznámy,1
zdať,1
skúmať,1
anglický,1
názor,1
obnoviť,1
sopečný,1
posledný,1
doba,1
nepotvrdiť,1
japonský,1
vyniesť,1
tvrdiť,1
spáchať,1
samovražda,1
roztrhať,1
zver,1
udiať,1
rovnako,1
u,1
japonsku,1
samovrah,1
konšpiračný,1
teória,1
unesené,1
spätiť,1
nutný,1
mimozemský,1
záležitosť,1
nablízku,1
postupovať,1
vrátenie,1
povoliť,1
výstavba,1
podobný,1
nezvládať,1
dispozícia,1
prenájom,1
zúfalý,1
zásobovač,1
nestíhať,1
zásobovať,1
podnikateľ,1
nápad,1
pojazdný,1
rozličný,1
tovar,1
obchodovanie,1
šíriť,1
vraj,1
americký,1
spoločnosť,1
nešťastie,1
dvere,1
zviditeľnenie,1
kontrolovať,1
rozsýpať,1
istotne,1
zaujímať,1
nenechať,1
nečinne,1
prizerať,1
klásť,1
cieliť,1
cúvnuť,1
troška,1
zdržanlivý,1
neistý,1
predstavovať,1
určitý,1
hrozba,1
zasiahnuť,1
súrodenec,1
miešať,1
obava,1
dozretý,1
odvážny,1
muž,1
detský,1
konečný,1
dôsledok,1
napokon,1
nevrátiť,1
vyhrať,1
rozhodnutý,1
povahový,1
črta,1
rozlíšiť,1
zúfalstvo,1
faktor,1
spájať,1
výsledný,1
efekt,1
rozhodnutie,1
mladá,1
veriaci,1
monitorovaný,1
vytýčené,1
sľúbený,1
obďaleč,1
štvrtok,1
poobedňajší,1
priniesť,1
potrebný,1
výbava,1
zásoba,1
aspoň,1
pokaziť,1
terasa,1
pozorovať,1
fotoaparát,1
hovoriaci,1
zaplniť,1
okraj,1
tá,1
strhujúci,1
jovsy,1
filmový,1
zdokumentovať,1
zostavený,1
narýchlo,1
obytný,1
modul,1
bratislavský,1
stavebný,1
firma,1
prenajať,1
osobný,1
štyri,1
michaloviec,1
člen,1
prevážať,1
odkedy,1
nasledovný,1
postup,1
potulovať,1
bežný,1
rovnaký,1
vec,1
presunúť,1
dohodnutý,1
karta,1
takže,1
zamestnať,1
prešmyknúť,1
odtiaľ,1
mal,1
utierať,1
servítka,1
fyzicky,1
slabý,1
odvážne,1
podujať,1
tepla,1
radšej,1
vbehnúť,1
znášať,1
dočkať,1
trúbenie,1
pišťanie,1
pneumatika,1
prudký,1
zabrzdení,1
kus,1
neskutočný,1
zameriavač,1
popri,1
rozostaviť,1
vybavenie,1
rozšíriť,1
zameriavať,1
otrávený,1
osemprúdová,1
odpiť,1
malinovka,1
takto,1
vliecť,1
zvečeriť,1
anglicka,1
muška,1
dorečniť,1
oproti,1
dozerať,1
otrávene,1
podávať,1
podliehať,1
vysoký,1
utajenie,1
zabezpečovať,1
ochrana,1
toľký,1
nedoriešiť,1
dna,1
zamyslieť,1
nachvíľu,1
vstúpiť,1
premôcť,1
parkovisko,1
pripravovať,1
filmovací,1
rampa,1
hercov,1
znásobiť,1
dobré,1
rýchlo,1
poď,1
tabuľka,1
písmeno,1
l,1
tajný,1
sprievodkyňa,1
pobrať,1
ahojte,1
dvor,1
postavený,1
predpis,1
stráženie,1
vymeniť,1
zodvihnúť,1
taška,1
ovocie,1
odniesť,1
ocitnúť,1
temno,1
snažiť,1
utajiť,1
dopredu,1
očividne,1
zajačí,1
úmysel,1
rozoznávať,1
rozstup,1
nikam,1
neodbehovať,1
pokiaľ,1
záležať,1
natrafiť,1
osobne,1
poriadne,1
plece,1
spolu,1
šliapať,1
nesedieť,1
vchádzať,1
dusno,1
doslova,1
zahľadieť,1
malá,1
kyvotať,1
znamenať,1
znervóznieť,1
upozorniť,1
nerozumieť,1
ukryť,1
slov,1
zákruta,1
stovka,1
tisícka,1
výstrel,1
rachotiacich,1
zbadať,1
neutíchať,1
naberať,1
obrátka,1
dočerta,1
zúfalo,1
vykríknuť,1
čupnúť,1
počkať,1
nejsť,1
netrafiť,1
zblúdiť,1
guľka,1
nariadiť,1
čupieť,1
dupot,1
zase,1
vystrašený,1
prestávať,1
neďaleko,1
kopcom,1
diviak,1
silueta,1
srnka,1
splašene,1
rútiť,1
rachot,1
neustávať,1
hrmenie,1
bojový,1
nezažiť,1
čudný,1
spraviť,1
skončiť,1
snáď,1
akosi,1
vymknúť,1
zmôcť,1
strašne,1
ustať,1
zvažovať,1
šumenie,1
koruna,1
hroziť,1
ruksak,1
potichu,1
svietiť,1
približne,1
pásmo,1
zúfale,1
preboha,1
nažive,1
zletieť,1
aúúú,1
skričať,1
pozbierať,1
para,1
pomoc,1
zvrešťať,1
rýchly,1
hnať,1
tmavý,1
vychádzať,1
hovoriť,1
neveriacky,1
krútiť,1
hlava,1
odrádzať,1
živý,1
netrepať,1
hlúposť,1
konečne,1
zastaviť,1
nezastaviť,1
krátky,1
nastať,1
otočiť,1
skúšať,1
kričať,1
opakovať,1
neozvať,1
panika,1
zbavený,1
zraziť,1
úder,1
brucho,1
dvihnúť,1
vietor,1
bzukot,1
včela,1
zdvihnúť,1
zrak,1
zaliať,1
strnulo,1
sledovať,1
pyramídový,1
objekt,1
rotovať,1
os,1
bzučanie,1
stŕpnutý,1
schopný,1
urobiť,1
rotujúcej,1
vystreliť,1
silný,1
vzniesť,1
ohnuté,1
laury,1
tichosť,1
vynášať,1
pokúšať,1
utiecť,1
nevládať,1
pomaly,1
noha,1
šialený,1
pomedzi,1
živé,1
umrieť,1
paľba,1
lietajúci,1
prezradiť,1
oznámiť,1
netušiť,1
dlho,1
pojem,1
odraz,1
zrýchliť,1
víchor,1
temný,1
zmocňovať,1
neuveriť,1
vydýchať,1
svižný,1
nestrážiť,1
nestretnúť,1
ľudoprázdny,1
nijako,1
nekončiť,1
blúdiť,1
nepoznať,1
večný,1
samota,1
neuveriteľný,1
zmeniť,1
zablúdiť,1
zájsť,1
umyť,1
toaleta,1
stena,1
obraz,1
zľaknúť,1
piatok,1
tlač,1
kedykoľvek,1
chrliť,1
otázka,1
vystúpiť,1
hovorca,1
váženie,1
prehlásenie,1
predošlý,1
komplikácia,1
napadnutý,1
neznáma,1
agresor,1
opätovať,1
strelný,1
zbraň,1
padnúť,1
presný,1
zverejniť,1
posudzovanie,1
meter,1
mladé,1
doklad,1
nezomrieť,1
následok,1
nočná,1
rozpútať,1
trafiť,1
blesk,1
spálený,1
totožnosť,1
zisťovať,1
nezískať,1
záznam,1
vykonávať,1
monitoring,1
vek,1
zložka,1
tentokrát,1
uzatvárať,1
definitívne,1
konflikt,1
umierať,1
bezpečnostný,1
skladať,1
dokopy,1
načo,1
nedozvedieť,1
ďakovať,1
vaša,1
plynúť,1
zrýchlený,1
stoj,1
mnohé,1
nevyriešiť,1
nepokoj,1
pretrvávať,1
vymýšľať,1
historka,1
bojovať,1
strhnúť,1
ranný,1
údajne,1
odložiť,1
dokončenie,1
záver,1
turizmus,1
rámec,1
možnosť,1
pútnický,1
tradovať,1
smrtiaci,1
zľutovanie,1
vyblednuté,1
slnko,1
dážď,1
